"","unique_id","block","trt","cross","pop_parent_1","pop_parent_2","colors","first_flower","wilt1","wilt2","wilt3","wilt4","wilt5","wilt6","wilt7","wilt8","dead1","dead2","survived","height_cm","leaf_nodes_main","bushiness","flower_count","days_1flower","flowering","w_b","pop_T","pop_B","pop_V","pop_P","pop_L","initial_h"
"41",100,"4","early drought","B1916-3xT2829-3","B","T","M_Y","24-Apr","","28-mar","","9-Apr","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,11.5
"42",102,"4","early drought","B1109-1xB1503-3","B","B","M_M","","","","","","","30-Apr","","",0,0,1,43,18,27,0,NA,0,"w",0,1,0,0,0,6.2
"43",103,"3","late drought","B2913-2xP2409-9","B","P","M_M","19-Apr","","","","","","26-Apr","","",0,0,1,54,17,0,0,42,1,"b",0,1,0,1,0,9.2
"44",106,"3","late drought","T3105-1xT2813-2","T","T","Y_Y","","","","","","","30-Apr","","",0,0,1,36,28,18,0,NA,0,"w",1,0,0,0,0,13.2
"45",110,"4","early drought","V1014-5xL624-9","V","L","Y_Y","","","","","","","02-may","","",0,0,1,34,11,20,0,NA,0,"b",0,0,1,0,1,5.3
"46",112,"3","late drought","V2519-8xL1502-12","V","L","Y_Y","30-Apr","","","","","","30-Apr","","",0,0,1,38,8,25,4,53,1,"b",0,0,1,0,1,4.2
"47",113,"3","late drought","B1109-1xB1503-3","B","B","M_M","","","","","","","25-Apr","","",0,0,1,47,18,16,0,NA,0,"w",0,1,0,0,0,5.1
"48",114,"4","early drought","T515-6xL624-9","T","L","Y_Y","","","","","","","30-Apr","","",0,0,1,25,13,12,0,NA,0,"b",1,0,0,0,1,9.2
"49",120,"3","late drought","T829-3xT2930-2","T","T","Y_Y","","","","","","","25-Apr","","",1,0,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,3.3
"50",129,"4","early drought","B1223-1xB1613-3","B","B","M_M","12-Apr","","28-mar","","12-Apr","","30-Apr","","",0,0,1,52,11,0,9,35,1,"w",0,1,0,0,0,4
"51",130,"3","control","B2913-3xB2311-1","B","B","M_M","14-may","","","","","","","","",0,0,1,41,9,47,5,67,1,"w",0,1,0,0,0,17
"52",131,"3","control","B1613-3xT2930-2","B","T","M_Y","24-Apr","","","","","","","","",0,0,1,80,12,46,8,74,1,"b",1,1,0,0,0,9.2
"53",133,"3","late drought","T2803-1xT2505-3","T","T","Y_Y","","","","","","","26-Apr","","",0,0,1,28,11,23,0,NA,0,"w",1,0,0,0,0,6.2
"54",135,"4","early drought","V2118-7xL2221-11","V","L","Y_Y","","","28-mar","","9-Apr","","26-Apr","","",0,0,1,34,6,20,0,NA,0,"b",0,0,1,0,1,7.1
"55",139,"4","early drought","B1109-1xB1503-3","B","B","M_M","02-may","","26-mar","","12-Apr","","25-Apr","","",1,0,0,NA,NA,NA,NA,55,1,"w",0,1,0,0,0,6.6
"56",142,"3","late drought","T515-6xL624-9","T","L","Y_Y","","","","","","","30-Apr","","",0,0,1,35,18,13,0,NA,0,"b",1,0,0,0,1,17.4
"57",143,"3","late drought","B1223-1xT2315-2","B","T","M_Y","24-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,4.7
"58",149,"5","late drought","T2930-2xT829-3","T","T","Y_Y","","","","","","","30-Apr","","",0,0,1,29,14,15,0,NA,0,"w",1,0,0,0,0,10.9
"59",150,"5","control","B1427-3xB3018-3","B","B","M_M","24-Apr","","","","","","","","",0,0,1,57,12,51,5,47,1,"w",0,1,0,0,0,8.1
"60",151,"5","control","B2913-3xB2311-1","B","B","M_M","25-Apr","","","","","","","","",0,0,1,48.5,11,27,6,48,1,"w",0,1,0,0,0,24.4
"61",159,"5","late drought","P1423-7xB2315-1","P","B","M_M","24-Apr","","","","","","25-Apr","","",0,0,1,16,6,14,5,47,1,"b",0,1,0,1,0,6.6
"62",160,"4","early drought","B2324-4xP513-10","B","P","M_M","","","28-mar","","9-Apr","","26-Apr","","",0,0,1,19,10,39,0,NA,0,"b",0,1,0,1,0,4.3
"63",162,"5","control","B1207-2xB1127-2","B","B","M_M","24-Apr","","","","","","","","",0,0,1,50,15,80,4,47,1,"w",0,1,0,0,0,7.1
"64",163,"4","early drought","T2311-6xL1502-12","T","L","Y_Y","25-Apr","","28-mar","","8-Apr","","25-Apr","","",1,0,0,NA,NA,NA,NA,48,1,"b",1,0,0,0,1,19.5
"65",165,"5","control","T2803-3xL2221-11","T","L","Y_Y","","","","","","","","","",0,0,1,21,12,38,0,NA,0,"b",1,0,0,0,1,5.6
"66",168,"5","control","P1423-7xB2315-1","P","B","M_M","","","","","","","","","",0,0,1,21,12,42,0,NA,0,"b",0,1,0,1,0,5.2
"67",170,"5","late drought","B1109-1xB1503-3","B","B","M_M","15-Apr","","","","","","25-Apr","","",0,0,1,64,14,0,8,38,1,"w",0,1,0,0,0,4.9
"68",171,"4","early drought","V2519-8xL1502-12","V","L","Y_Y","07-may","","28-mar","","12-Apr","","26-Apr","","",0,0,1,34,9,22,1,60,1,"b",0,0,1,0,1,14.2
"69",172,"7","early drought","B1223-1xT2315-2","B","T","M_Y","24-Apr","","26-mar","","12-Apr","","25-Apr","","",0,1,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,7.4
"70",174,"5","late drought","T829-3xT2930-2","T","T","Y_Y","","","","","","","","","",0,0,1,37,14,14,0,NA,0,"w",1,0,0,0,0,16.5
"71",179,"5","control","B1223-1xT2315-2","B","T","M_Y","02-may","","","","","","","","",0,0,1,69,20,21,2,55,1,"b",1,1,0,0,0,8.6
"72",181,"5","control","T3105-1xT2813-2","T","T","Y_Y","17-may","","","","","","","","",0,0,1,59,24,30,3,70,1,"w",1,0,0,0,0,5.9
"73",187,"7","early drought","T2803-1xT2505-3","T","T","Y_Y","","","28-mar","","12-Apr","","25-Apr","","",0,0,1,22,8,48,0,NA,0,"w",1,0,0,0,0,6.4
"74",188,"7","early drought","T2420-1xT3105-1","T","T","Y_Y","","","28-mar","","12-Apr","","26-Apr","","",0,0,1,17,9,24,0,NA,0,"w",1,0,0,0,0,6.8
"75",191,"5","late drought","B1223-1xT2315-2","B","T","M_Y","24-Apr","","","","","24-Apr","","","",1,0,0,NA,NA,NA,NA,47,1,"b",1,1,0,0,0,6.8
"76",192,"5","control","T2315-2xT829-3","T","T","Y_Y","24-Apr","","","","","","","","",0,0,1,54,20,10,3,47,1,"w",1,0,0,0,0,6.4
"77",193,"5","late drought","B1427-3xB3018-3","B","B","M_M","07-may","","","","","","30-Apr","","20-may",0,0,1,43,13,15,1,60,1,"w",0,1,0,0,0,10.2
"78",194,"5","control","T2311-6xL1502-12","T","L","Y_Y","","","","","","","","","",0,0,1,36,14,34,0,NA,0,"b",1,0,0,0,1,15
"79",195,"6","late drought","V1014-5xL624-9","V","L","Y_Y","","","","","","","30-Apr","","",0,0,1,17,8,27,0,NA,0,"b",0,0,1,0,1,7.6
"80",196,"6","control","P513-10xB2324-3","P","B","M_M","24-may","","","","","","","","",0,0,1,45,15,26,1,77,1,"b",0,1,0,1,0,4.6
"81",197,"6","late drought","T2930-2xT829-3","T","T","Y_Y","","","","","","","25-Apr","","",1,0,0,NA,NA,NA,NA,NA,0,"w",1,0,0,0,0,6.8
"82",199,"6","late drought","B2315-1xP1423-7","B","P","M_M","24-Apr","","","","","","25-Apr","","",0,0,1,7,3,12,1,47,1,"b",0,1,0,1,0,5.9
"83",202,"6","control","B723-3xT2930-2","B","T","M_Y","30-Apr","","","","","","","","",0,0,1,59,11,21,3,53,1,"b",1,1,0,0,0,7.9
"84",204,"6","late drought","P2409-9xB2913-2","P","B","M_M","24-Apr","","","","","","25-Apr","","",1,0,0,NA,NA,NA,NA,47,1,"b",0,1,0,1,0,3
